feature,weight
intercept,-0.030012877822248544
gender,-0.0069223302795586115
SeniorCitizen,0.18608813334816954
Partner,0.028113624588559465
Dependents,-0.048038498581803715
tenure,0.12343995976633065
PhoneService,0.3314391784973446
MultipleLines,0.23399022700621572
InternetService,-0.6692970685961831
OnlineSecurity,-0.05637613894060721
OnlineBackup,-0.0034996418896776527
DeviceProtection,0.00990534436559513
TechSupport,-0.05369962552230156
StreamingTV,0.11467291680523051
StreamingMovies,0.10190546346432226
Contract,-0.171522581482533
PaperlessBilling,0.13229302699641546
PaymentMethod,-0.05715298604248878
