feature,mean_importance
OnlineBackup,-7.635650456567777e-05
gender,0.00013500177706435857
DeviceProtection,0.0010130022814740848
Partner,0.0011850820575603715
PaymentMethod,0.0025535761312603378
TechSupport,0.003004235413113632
Dependents,0.0035703055196167565
OnlineSecurity,0.004725532715150793
SeniorCitizen,0.008985997191906537
StreamingMovies,0.022579171004156184
StreamingTV,0.02762188937565029
tenure,0.02812376771397217
PaperlessBilling,0.02981328820939111
Contract,0.057936996186558856
MultipleLines,0.11532575511879137
PhoneService,0.2209907819909224
InternetService,0.8871084741552974
